id, stimuli, condition, looking, away, order, train_looking, train_away, train_looking_prop, total_looking, total_away, total_looking_prop
12,fama,word,6.479411125,2.00502491,4,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
12,drogu,part,4.938194036,2.005048037,5,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
12,dafa,part,3.944068193,2.004913807,6,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
12,pera,word,7.12568903,2.647950887,7,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
12,pagu,part,4.259111881,2.004750967,8,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
20,kadro,word,10.720849038,4.277008055,1,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
20,fama,word,3.990447044,2.308799029,2,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
20,pera,word,3.837401867,2.299221993,3,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
20,zupa,word,5.062801838,2.243658066,4,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
20,dafa,part,0.488796949,2.015231133,5,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
20,zeka,part,5.641805888,2.799221992,6,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
20,pagu,part,8.873347283,3.589630842,7,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
20,drogu,part,1.789932966,2.015959025,8,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
16,fama,word,12.14738226,2.75027275,1,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
16,kadro,word,14.10260201,0.89438796,2,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
16,zupa,word,7.39118315,2.03778981,3,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
16,pera,word,5.87979913,3.71494889,4,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
16,pagu,part,14.71222591,0.29788804,5,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
16,drogu,part,10.17512178,3.26417017,6,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
16,dafa,part,3.26486587,2.0047741,7,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
16,zeka,part,13.33665609,1.66024304,8,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
VS077,kadro,word,10.262355089,2.005870819,1,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
VS077,pagu,part,6.767350912,2.000902176,2,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
VS077,drogu,part,8.855587005,2.007110834,3,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
VS077,fama,word,3.805980921,2.027406931,4,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
VS077,dafa,part,5.637305021,2.006884813,5,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
VS077,zupa,word,5.699019194,2.013603925,6,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
VS077,pera,word,5.10538888,2.010704994,7,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
VS077,zeka,part,5.09253025,2.74967289,8,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
32,kadro,word,7.782696247,2.655978918,1,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
32,zupa,word,7.712317944,2.000785112,2,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
32,dafa,part,6.916790962,3.473237038,3,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
32,pagu,part,7.964668989,2.015430927,4,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
32,fama,word,10.323589086,4.579041958,5,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
32,drogu,part,2.106653929,2.015488147,6,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
32,zeka,part,4.56953311,2.005905866,7,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
32,pera,word,7.612947941,3.077926158,8,54.989198208,21.823794124,0.715884078182,122.948288681,108.774347304,0.5305838515
28,kadro,word,10.262355089,2.005870819,1,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
28,pagu,part,6.767350912,2.000902176,2,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
28,drogu,part,8.855587005,2.007110834,3,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
28,fama,word,3.805980921,2.027406931,4,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
28,dafa,part,5.637305021,2.006884813,5,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
28,zupa,word,5.699019194,2.013603925,6,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
28,pera,word,5.10538888,2.010704994,7,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
28,zeka,part,5.09253025,2.74967289,8,51.225517272,16.822157382,0.752788651963,94.616805077,83.492537975,0.531228757884
36,fama,word,8.9681968689,2.0057661533,1,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
36,zeka,part,4.115237951,2.006227017,2,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
36,drogu,part,3.446666003,2.006151914,3,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
36,kadro,word,2.10296011,2.005569935,4,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
36,pera,word,3.713722945,2.006628036,5,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
36,zupa,word,3.730306149,2.00660181,6,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
36,pagu,part,2.96219182,2.005870104,7,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
36,dafa,part,1.239287138,2.005349875,8,30.2785689849,16.0481648443,0.653587388581,63.6437067996,99.4924442755,0.390126323198
35,fama,word,11.981575726,2.91443205,1,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
35,pera,word,12.294591904,2.728976965,2,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
35,zupa,word,5.136214971,2.014215947,3,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
35,pagu,part,4.606018781,2.005017042,4,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
35,drogu,part,5.03351593,2.016258001,5,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
35,zeka,part,7.560587883,2.005921126,6,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
35,dafa,part,8.22239399,2.003010988,7,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
35,kadro,word,15.004199028,0,8,69.839098213,15.687832119,0.81657435783,151.11727476,84.458232165,0.64148126744
29,dafa,part,10.2673738,2.076855183,1,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
29,zeka,part,3.968804836,2.487360954,2,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
29,fama,word,8.077735185,2.016214848,3,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
29,drogu,part,7.123839855,2.673209191,4,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
29,kadro,word,5.433079958,2.013946057,5,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
29,pera,word,8.516838073,3.092767955,6,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
29,pagu,part,3.97080493,2.003281117,7,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
29,zupa,word,5.192563057,2.003607988,8,52.551039694,18.367243293,0.741008347645,141.166494367,83.926733496,0.627146785833
1,fama,word,4.769597053,5.255996943,1,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
1,kadro,word,5.750668049,2.004724025,2,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
1,pera,word,5.2200799,2.949496984,3,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
1,zupa,word,3.646198988,2.004665136,4,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
1,dafa,part,7.788688899,3.512877225,5,55.63263512,25.682586905,0.68416015765,119.341699604,71.06159639,0.62678379059
